value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
25.240200004577638,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T07:00:00Z,2025-11-13T12:45:00+05:45,2025-11-13T08:00:00Z,2025-11-13T13:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T07:00:00Z,2025-11-13T12:45:00+05:45,2025-11-13T08:00:00Z,2025-11-13T13:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
21.816666666666666,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T08:00:00Z,2025-11-13T13:45:00+05:45,2025-11-13T09:00:00Z,2025-11-13T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T08:00:00Z,2025-11-13T13:45:00+05:45,2025-11-13T09:00:00Z,2025-11-13T14:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
20.358166662851968,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T09:00:00Z,2025-11-13T14:45:00+05:45,2025-11-13T10:00:00Z,2025-11-13T15:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T09:00:00Z,2025-11-13T14:45:00+05:45,2025-11-13T10:00:00Z,2025-11-13T15:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
30.347416750590003,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T10:00:00Z,2025-11-13T15:45:00+05:45,2025-11-13T11:00:00Z,2025-11-13T16:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T10:00:00Z,2025-11-13T15:45:00+05:45,2025-11-13T11:00:00Z,2025-11-13T16:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
41.287653075324165,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T11:00:00Z,2025-11-13T16:45:00+05:45,2025-11-13T12:00:00Z,2025-11-13T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T11:00:00Z,2025-11-13T16:45:00+05:45,2025-11-13T12:00:00Z,2025-11-13T17:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
44.36699981689453,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T12:00:00Z,2025-11-13T17:45:00+05:45,2025-11-13T13:00:00Z,2025-11-13T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T12:00:00Z,2025-11-13T17:45:00+05:45,2025-11-13T13:00:00Z,2025-11-13T18:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
46.321833546956384,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T13:00:00Z,2025-11-13T18:45:00+05:45,2025-11-13T14:00:00Z,2025-11-13T19:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T13:00:00Z,2025-11-13T18:45:00+05:45,2025-11-13T14:00:00Z,2025-11-13T19:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
44.85550003051758,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T14:00:00Z,2025-11-13T19:45:00+05:45,2025-11-13T15:00:00Z,2025-11-13T20:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T14:00:00Z,2025-11-13T19:45:00+05:45,2025-11-13T15:00:00Z,2025-11-13T20:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
38.56416651407877,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T15:00:00Z,2025-11-13T20:45:00+05:45,2025-11-13T16:00:00Z,2025-11-13T21:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T15:00:00Z,2025-11-13T20:45:00+05:45,2025-11-13T16:00:00Z,2025-11-13T21:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
33.75266666412354,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-11-13T16:00:00Z,2025-11-13T21:45:00+05:45,2025-11-13T17:00:00Z,2025-11-13T22:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-13T16:00:00Z,2025-11-13T21:45:00+05:45,2025-11-13T17:00:00Z,2025-11-13T22:45:00+05:45,6128821,Kadhaghari (SC-42)-GD Labs,27.696521,85.369882
