value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
17.82055555979411,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-02T23:00:00Z,2025-10-03T04:45:00+05:45,2025-10-03T00:00:00Z,2025-10-03T05:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-02T23:00:00Z,2025-10-03T04:45:00+05:45,2025-10-03T00:00:00Z,2025-10-03T05:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
16.605763883060877,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T00:00:00Z,2025-10-03T05:45:00+05:45,2025-10-03T01:00:00Z,2025-10-03T06:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T00:00:00Z,2025-10-03T05:45:00+05:45,2025-10-03T01:00:00Z,2025-10-03T06:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
23.49098611672719,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T01:00:00Z,2025-10-03T06:45:00+05:45,2025-10-03T02:00:00Z,2025-10-03T07:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T01:00:00Z,2025-10-03T06:45:00+05:45,2025-10-03T02:00:00Z,2025-10-03T07:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
32.15923626157972,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T02:00:00Z,2025-10-03T07:45:00+05:45,2025-10-03T03:00:00Z,2025-10-03T08:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T02:00:00Z,2025-10-03T07:45:00+05:45,2025-10-03T03:00:00Z,2025-10-03T08:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
35.07288852267795,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T03:00:00Z,2025-10-03T08:45:00+05:45,2025-10-03T04:00:00Z,2025-10-03T09:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T03:00:00Z,2025-10-03T08:45:00+05:45,2025-10-03T04:00:00Z,2025-10-03T09:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
39.75862483978272,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T04:00:00Z,2025-10-03T09:45:00+05:45,2025-10-03T05:00:00Z,2025-10-03T10:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T04:00:00Z,2025-10-03T09:45:00+05:45,2025-10-03T05:00:00Z,2025-10-03T10:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
44.710541598002116,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T05:00:00Z,2025-10-03T10:45:00+05:45,2025-10-03T06:00:00Z,2025-10-03T11:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T05:00:00Z,2025-10-03T10:45:00+05:45,2025-10-03T06:00:00Z,2025-10-03T11:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
46.057124900817875,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T06:00:00Z,2025-10-03T11:45:00+05:45,2025-10-03T07:00:00Z,2025-10-03T12:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T06:00:00Z,2025-10-03T11:45:00+05:45,2025-10-03T07:00:00Z,2025-10-03T12:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
39.304458483060195,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T07:00:00Z,2025-10-03T12:45:00+05:45,2025-10-03T08:00:00Z,2025-10-03T13:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T07:00:00Z,2025-10-03T12:45:00+05:45,2025-10-03T08:00:00Z,2025-10-03T13:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
23.429166666666664,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-03T08:00:00Z,2025-10-03T13:45:00+05:45,2025-10-03T09:00:00Z,2025-10-03T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-03T08:00:00Z,2025-10-03T13:45:00+05:45,2025-10-03T09:00:00Z,2025-10-03T14:45:00+05:45,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
