value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
31.06249976158142,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T04:00:00Z,2025-10-13T09:45:00+05:45,2025-10-13T05:00:00Z,2025-10-13T10:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T04:00:00Z,2025-10-13T09:45:00+05:45,2025-10-13T05:00:00Z,2025-10-13T10:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
30.80233332051171,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T05:00:00Z,2025-10-13T10:45:00+05:45,2025-10-13T06:00:00Z,2025-10-13T11:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T05:00:00Z,2025-10-13T10:45:00+05:45,2025-10-13T06:00:00Z,2025-10-13T11:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
28.414569377899166,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T06:00:00Z,2025-10-13T11:45:00+05:45,2025-10-13T07:00:00Z,2025-10-13T12:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T06:00:00Z,2025-10-13T11:45:00+05:45,2025-10-13T07:00:00Z,2025-10-13T12:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
22.03373610973358,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T07:00:00Z,2025-10-13T12:45:00+05:45,2025-10-13T08:00:00Z,2025-10-13T13:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T07:00:00Z,2025-10-13T12:45:00+05:45,2025-10-13T08:00:00Z,2025-10-13T13:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
18.879083336724175,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T08:00:00Z,2025-10-13T13:45:00+05:45,2025-10-13T09:00:00Z,2025-10-13T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T08:00:00Z,2025-10-13T13:45:00+05:45,2025-10-13T09:00:00Z,2025-10-13T14:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
21.10729165871938,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T09:00:00Z,2025-10-13T14:45:00+05:45,2025-10-13T10:00:00Z,2025-10-13T15:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T09:00:00Z,2025-10-13T14:45:00+05:45,2025-10-13T10:00:00Z,2025-10-13T15:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
25.817124994595844,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T10:00:00Z,2025-10-13T15:45:00+05:45,2025-10-13T11:00:00Z,2025-10-13T16:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T10:00:00Z,2025-10-13T15:45:00+05:45,2025-10-13T11:00:00Z,2025-10-13T16:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
29.501916710535685,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T11:00:00Z,2025-10-13T16:45:00+05:45,2025-10-13T12:00:00Z,2025-10-13T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T11:00:00Z,2025-10-13T16:45:00+05:45,2025-10-13T12:00:00Z,2025-10-13T17:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
32.77756963835822,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T12:00:00Z,2025-10-13T17:45:00+05:45,2025-10-13T13:00:00Z,2025-10-13T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T12:00:00Z,2025-10-13T17:45:00+05:45,2025-10-13T13:00:00Z,2025-10-13T18:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
37.193527899848085,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-13T13:00:00Z,2025-10-13T18:45:00+05:45,2025-10-13T14:00:00Z,2025-10-13T19:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-13T13:00:00Z,2025-10-13T18:45:00+05:45,2025-10-13T14:00:00Z,2025-10-13T19:45:00+05:45,6093431,Mahankal (SC-16) - GD Labs,27.7258555,85.3581047
