value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
19.5,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-22T11:00:00Z,2026-03-22T16:45:00+05:45,2026-03-22T12:00:00Z,2026-03-22T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-22T11:00:00Z,2026-03-22T16:45:00+05:45,2026-03-22T12:00:00Z,2026-03-22T17:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
24.4,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-22T12:00:00Z,2026-03-22T17:45:00+05:45,2026-03-22T13:00:00Z,2026-03-22T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-22T12:00:00Z,2026-03-22T17:45:00+05:45,2026-03-22T13:00:00Z,2026-03-22T18:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
53.6,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-22T13:00:00Z,2026-03-22T18:45:00+05:45,2026-03-22T14:00:00Z,2026-03-22T19:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-22T13:00:00Z,2026-03-22T18:45:00+05:45,2026-03-22T14:00:00Z,2026-03-22T19:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
28.3,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T08:00:00Z,2026-03-23T13:45:00+05:45,2026-03-23T09:00:00Z,2026-03-23T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T08:00:00Z,2026-03-23T13:45:00+05:45,2026-03-23T09:00:00Z,2026-03-23T14:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
29.2,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T09:00:00Z,2026-03-23T14:45:00+05:45,2026-03-23T10:00:00Z,2026-03-23T15:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T09:00:00Z,2026-03-23T14:45:00+05:45,2026-03-23T10:00:00Z,2026-03-23T15:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
36.1,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T10:00:00Z,2026-03-23T15:45:00+05:45,2026-03-23T11:00:00Z,2026-03-23T16:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T10:00:00Z,2026-03-23T15:45:00+05:45,2026-03-23T11:00:00Z,2026-03-23T16:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
43.6,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T11:00:00Z,2026-03-23T16:45:00+05:45,2026-03-23T12:00:00Z,2026-03-23T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T11:00:00Z,2026-03-23T16:45:00+05:45,2026-03-23T12:00:00Z,2026-03-23T17:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
38.8,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T12:00:00Z,2026-03-23T17:45:00+05:45,2026-03-23T13:00:00Z,2026-03-23T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T12:00:00Z,2026-03-23T17:45:00+05:45,2026-03-23T13:00:00Z,2026-03-23T18:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
46.0,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T14:00:00Z,2026-03-23T19:45:00+05:45,2026-03-23T15:00:00Z,2026-03-23T20:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T14:00:00Z,2026-03-23T19:45:00+05:45,2026-03-23T15:00:00Z,2026-03-23T20:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
39.8,,,False,2,pm25,µg/m³,,raw,01:00:00,2026-03-23T15:00:00Z,2026-03-23T20:45:00+05:45,2026-03-23T16:00:00Z,2026-03-23T21:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2026-03-23T15:00:00Z,2026-03-23T20:45:00+05:45,2026-03-23T16:00:00Z,2026-03-23T21:45:00+05:45,6280985,Pulchowk Engineering Campus - ICE Labs,27.681232,85.319189
