value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
26.671909083742083,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T07:00:00Z,2025-10-14T12:45:00+05:45,2025-10-14T08:00:00Z,2025-10-14T13:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T07:00:00Z,2025-10-14T12:45:00+05:45,2025-10-14T08:00:00Z,2025-10-14T13:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
28.92174995210436,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T08:00:00Z,2025-10-14T13:45:00+05:45,2025-10-14T09:00:00Z,2025-10-14T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T08:00:00Z,2025-10-14T13:45:00+05:45,2025-10-14T09:00:00Z,2025-10-14T14:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
32.71786109076606,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T09:00:00Z,2025-10-14T14:45:00+05:45,2025-10-14T10:00:00Z,2025-10-14T15:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T09:00:00Z,2025-10-14T14:45:00+05:45,2025-10-14T10:00:00Z,2025-10-14T15:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
29.656833288404673,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T10:00:00Z,2025-10-14T15:45:00+05:45,2025-10-14T11:00:00Z,2025-10-14T16:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T10:00:00Z,2025-10-14T15:45:00+05:45,2025-10-14T11:00:00Z,2025-10-14T16:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
33.69508335590362,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T11:00:00Z,2025-10-14T16:45:00+05:45,2025-10-14T12:00:00Z,2025-10-14T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T11:00:00Z,2025-10-14T16:45:00+05:45,2025-10-14T12:00:00Z,2025-10-14T17:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
39.067680252922905,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T12:00:00Z,2025-10-14T17:45:00+05:45,2025-10-14T13:00:00Z,2025-10-14T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T12:00:00Z,2025-10-14T17:45:00+05:45,2025-10-14T13:00:00Z,2025-10-14T18:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
42.881500244140625,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T13:00:00Z,2025-10-14T18:45:00+05:45,2025-10-14T14:00:00Z,2025-10-14T19:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T13:00:00Z,2025-10-14T18:45:00+05:45,2025-10-14T14:00:00Z,2025-10-14T19:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
45.590972349378795,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T14:00:00Z,2025-10-14T19:45:00+05:45,2025-10-14T15:00:00Z,2025-10-14T20:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T14:00:00Z,2025-10-14T19:45:00+05:45,2025-10-14T15:00:00Z,2025-10-14T20:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
44.27459757063124,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T15:00:00Z,2025-10-14T20:45:00+05:45,2025-10-14T16:00:00Z,2025-10-14T21:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T15:00:00Z,2025-10-14T20:45:00+05:45,2025-10-14T16:00:00Z,2025-10-14T21:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
47.24151384565565,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-14T16:00:00Z,2025-10-14T21:45:00+05:45,2025-10-14T17:00:00Z,2025-10-14T22:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-14T16:00:00Z,2025-10-14T21:45:00+05:45,2025-10-14T17:00:00Z,2025-10-14T22:45:00+05:45,6094778,Sanepa (SC - 22) - GD Labs,27.6854882,85.3091634
