value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
44.44050064086914,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T07:00:00Z,2025-12-24T12:45:00+05:45,2025-12-24T08:00:00Z,2025-12-24T13:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T07:00:00Z,2025-12-24T12:45:00+05:45,2025-12-24T08:00:00Z,2025-12-24T13:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
44.45550003051758,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T08:00:00Z,2025-12-24T13:45:00+05:45,2025-12-24T09:00:00Z,2025-12-24T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T08:00:00Z,2025-12-24T13:45:00+05:45,2025-12-24T09:00:00Z,2025-12-24T14:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
43.105333455403645,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T09:00:00Z,2025-12-24T14:45:00+05:45,2025-12-24T10:00:00Z,2025-12-24T15:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T09:00:00Z,2025-12-24T14:45:00+05:45,2025-12-24T10:00:00Z,2025-12-24T15:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
53.110166676839185,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T10:00:00Z,2025-12-24T15:45:00+05:45,2025-12-24T11:00:00Z,2025-12-24T16:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T10:00:00Z,2025-12-24T15:45:00+05:45,2025-12-24T11:00:00Z,2025-12-24T16:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
79.45900054931641,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T11:00:00Z,2025-12-24T16:45:00+05:45,2025-12-24T12:00:00Z,2025-12-24T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T11:00:00Z,2025-12-24T16:45:00+05:45,2025-12-24T12:00:00Z,2025-12-24T17:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
87.71254164377848,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T12:00:00Z,2025-12-24T17:45:00+05:45,2025-12-24T13:00:00Z,2025-12-24T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T12:00:00Z,2025-12-24T17:45:00+05:45,2025-12-24T13:00:00Z,2025-12-24T18:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
71.24950027465819,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T13:00:00Z,2025-12-24T18:45:00+05:45,2025-12-24T14:00:00Z,2025-12-24T19:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T13:00:00Z,2025-12-24T18:45:00+05:45,2025-12-24T14:00:00Z,2025-12-24T19:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
111.48016688028973,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T14:00:00Z,2025-12-24T19:45:00+05:45,2025-12-24T15:00:00Z,2025-12-24T20:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T14:00:00Z,2025-12-24T19:45:00+05:45,2025-12-24T15:00:00Z,2025-12-24T20:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
110.9081667582194,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T15:00:00Z,2025-12-24T20:45:00+05:45,2025-12-24T16:00:00Z,2025-12-24T21:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T15:00:00Z,2025-12-24T20:45:00+05:45,2025-12-24T16:00:00Z,2025-12-24T21:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
99.85533345540364,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T16:00:00Z,2025-12-24T21:45:00+05:45,2025-12-24T17:00:00Z,2025-12-24T22:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T16:00:00Z,2025-12-24T21:45:00+05:45,2025-12-24T17:00:00Z,2025-12-24T22:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
65.66666666666667,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-12-24T17:00:00Z,2025-12-24T22:45:00+05:45,2025-12-24T18:00:00Z,2025-12-24T23:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-12-24T17:00:00Z,2025-12-24T22:45:00+05:45,2025-12-24T18:00:00Z,2025-12-24T23:45:00+05:45,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
