value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,station_id,station_name,latitude,longitude
27.958750009536743,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T08:00:00Z,2025-10-19T13:45:00+05:45,2025-10-19T09:00:00Z,2025-10-19T14:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T08:00:00Z,2025-10-19T13:45:00+05:45,2025-10-19T09:00:00Z,2025-10-19T14:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
29.524861123826767,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T09:00:00Z,2025-10-19T14:45:00+05:45,2025-10-19T10:00:00Z,2025-10-19T15:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T09:00:00Z,2025-10-19T14:45:00+05:45,2025-10-19T10:00:00Z,2025-10-19T15:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
39.088166332244874,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T10:00:00Z,2025-10-19T15:45:00+05:45,2025-10-19T11:00:00Z,2025-10-19T16:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T10:00:00Z,2025-10-19T15:45:00+05:45,2025-10-19T11:00:00Z,2025-10-19T16:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
40.99781962500678,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T11:00:00Z,2025-10-19T16:45:00+05:45,2025-10-19T12:00:00Z,2025-10-19T17:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T11:00:00Z,2025-10-19T16:45:00+05:45,2025-10-19T12:00:00Z,2025-10-19T17:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
47.308875465393065,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T12:00:00Z,2025-10-19T17:45:00+05:45,2025-10-19T13:00:00Z,2025-10-19T18:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T12:00:00Z,2025-10-19T17:45:00+05:45,2025-10-19T13:00:00Z,2025-10-19T18:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
49.123500061035166,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T13:00:00Z,2025-10-19T18:45:00+05:45,2025-10-19T14:00:00Z,2025-10-19T19:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T13:00:00Z,2025-10-19T18:45:00+05:45,2025-10-19T14:00:00Z,2025-10-19T19:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
51.84555519951714,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T14:00:00Z,2025-10-19T19:45:00+05:45,2025-10-19T15:00:00Z,2025-10-19T20:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T14:00:00Z,2025-10-19T19:45:00+05:45,2025-10-19T15:00:00Z,2025-10-19T20:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
46.890666834513354,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T15:00:00Z,2025-10-19T20:45:00+05:45,2025-10-19T16:00:00Z,2025-10-19T21:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T15:00:00Z,2025-10-19T20:45:00+05:45,2025-10-19T16:00:00Z,2025-10-19T21:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
44.38169420030382,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T16:00:00Z,2025-10-19T21:45:00+05:45,2025-10-19T17:00:00Z,2025-10-19T22:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T16:00:00Z,2025-10-19T21:45:00+05:45,2025-10-19T17:00:00Z,2025-10-19T22:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
40.68136117723253,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T17:00:00Z,2025-10-19T22:45:00+05:45,2025-10-19T18:00:00Z,2025-10-19T23:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T17:00:00Z,2025-10-19T22:45:00+05:45,2025-10-19T18:00:00Z,2025-10-19T23:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
37.02027757432726,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T18:00:00Z,2025-10-19T23:45:00+05:45,2025-10-19T19:00:00Z,2025-10-20T00:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T18:00:00Z,2025-10-19T23:45:00+05:45,2025-10-19T19:00:00Z,2025-10-20T00:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
35.25987485249837,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T19:00:00Z,2025-10-20T00:45:00+05:45,2025-10-19T20:00:00Z,2025-10-20T01:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T19:00:00Z,2025-10-20T00:45:00+05:45,2025-10-19T20:00:00Z,2025-10-20T01:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
33.55574982166291,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T20:00:00Z,2025-10-20T01:45:00+05:45,2025-10-19T21:00:00Z,2025-10-20T02:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T20:00:00Z,2025-10-20T01:45:00+05:45,2025-10-19T21:00:00Z,2025-10-20T02:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
30.059083278973898,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T21:00:00Z,2025-10-20T02:45:00+05:45,2025-10-19T22:00:00Z,2025-10-20T03:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T21:00:00Z,2025-10-20T02:45:00+05:45,2025-10-19T22:00:00Z,2025-10-20T03:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
31.341430550151404,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T22:00:00Z,2025-10-20T03:45:00+05:45,2025-10-19T23:00:00Z,2025-10-20T04:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T22:00:00Z,2025-10-20T03:45:00+05:45,2025-10-19T23:00:00Z,2025-10-20T04:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
32.737333329518634,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-19T23:00:00Z,2025-10-20T04:45:00+05:45,2025-10-20T00:00:00Z,2025-10-20T05:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-19T23:00:00Z,2025-10-20T04:45:00+05:45,2025-10-20T00:00:00Z,2025-10-20T05:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
47.677458381652826,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-20T00:00:00Z,2025-10-20T05:45:00+05:45,2025-10-20T01:00:00Z,2025-10-20T06:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-20T00:00:00Z,2025-10-20T05:45:00+05:45,2025-10-20T01:00:00Z,2025-10-20T06:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
102.55995858510335,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-20T01:00:00Z,2025-10-20T06:45:00+05:45,2025-10-20T02:00:00Z,2025-10-20T07:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-20T01:00:00Z,2025-10-20T06:45:00+05:45,2025-10-20T02:00:00Z,2025-10-20T07:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
50.657625007629385,,,False,2,pm25,µg/m³,,raw,01:00:00,2025-10-20T02:00:00Z,2025-10-20T07:45:00+05:45,2025-10-20T03:00:00Z,2025-10-20T08:45:00+05:45,1,01:00:00,1,01:00:00,100.0,100.0,2025-10-20T02:00:00Z,2025-10-20T07:45:00+05:45,2025-10-20T03:00:00Z,2025-10-20T08:45:00+05:45,6093551,Teku Ward 12 (SC - 20) - GD Labs ,27.6988338,85.3041625
